config_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,F1_macro_mean,F1_fail_mean,F1_fail_std,Recall_fail_mean,Recall_fail_std,Precision_fail_mean,PR_AUC_mean,PR_AUC_std,ROC_AUC_mean,Time_s
28,100,3,0.05,1.0,1.0,0.6042006050361793,0.26441818832796277,0.06388410272274617,0.29,0.09726882588885259,0.2481587956820155,0.21451683765360197,0.032389885091030766,0.7353655083053372,31.60114598274231
29,100,3,0.1,0.8,0.8,0.5998363598519998,0.24651305683563746,0.03225987852408126,0.22190476190476188,0.06065403172605965,0.30168831168831167,0.23475109736144076,0.023499662653750437,0.7646649034105203,31.478506803512573
30,100,3,0.1,0.8,1.0,0.6045880668900141,0.25459773362212385,0.040926985712621045,0.22142857142857145,0.04971574528052643,0.32601010101010097,0.24375944923379408,0.03838135359167544,0.7638280246410594,31.247568130493164
31,100,3,0.1,1.0,0.8,0.589058441108795,0.22740584966815866,0.037767144582767816,0.2123809523809524,0.06812020854189586,0.26377819111834455,0.2265677743442709,0.03331079947963488,0.7478139853818941,30.963650941848755
32,100,3,0.1,1.0,1.0,0.5976188213519339,0.24276159949078177,0.0382262552564591,0.2119047619047619,0.026513163632523918,0.30229437229437234,0.22584758466805593,0.03823493921534712,0.7545969557115473,31.084866046905518
33,100,4,0.05,0.8,0.8,0.5861822657936556,0.21978889116622255,0.027710585821857373,0.19285714285714284,0.04542567625794979,0.26996336996337,0.23830439182910199,0.049016228076766206,0.7513669019901197,31.75274968147278
34,100,4,0.05,0.8,1.0,0.5830157508348324,0.215266927939539,0.030914340970630463,0.19285714285714284,0.04542567625794979,0.2638888888888889,0.230842440025481,0.045457437787107695,0.7471926156969871,31.863919019699097
35,100,4,0.05,1.0,0.8,0.5844898153520969,0.2160769274722763,0.0723327760626687,0.1938095238095238,0.09084636054619796,0.28295454545454546,0.22458445455802148,0.042205345201416236,0.7485303972446896,31.565105199813843
36,100,4,0.05,1.0,1.0,0.5865413105504924,0.2209156738935525,0.060920071370024066,0.2033333333333333,0.087437700529708,0.27198067632850237,0.23690464015658055,0.035274184098441366,0.7439605360120578,31.83652377128601
37,100,4,0.1,0.8,0.8,0.5921870105190228,0.22468744551002615,0.05929342144285308,0.1742857142857143,0.06969971224202662,0.36513368983957223,0.23756140087721986,0.04540370924401027,0.769987220845606,31.45968270301819
38,100,4,0.1,0.8,1.0,0.5866598686993225,0.21500962268481735,0.039785974705036455,0.16428571428571428,0.042857142857142864,0.3416666666666667,0.23189883183202203,0.04434229900853043,0.7570030433979194,31.684378147125244
39,100,4,0.1,1.0,0.8,0.5807686903779953,0.20391114262082005,0.023829902769019553,0.15428571428571428,0.022857142857142864,0.33999999999999997,0.23907643758556932,0.0290031080676603,0.7645327927795551,31.409607887268066
40,100,4,0.1,1.0,1.0,0.5906919005606882,0.22098664059954382,0.03333695631363213,0.1638095238095238,0.039681269820951735,0.39666666666666667,0.23274543264545908,0.04234237961598212,0.7537960544917391,31.723902940750122
41,100,5,0.05,0.8,0.8,0.5840672531854099,0.21197284878863826,0.04877321677657456,0.17380952380952377,0.060045334347230916,0.3187261268143621,0.24525713981372227,0.04506377811279085,0.7593677658075246,32.31763696670532
